"CREATOR_ID","row_id","KMeans","Hierarchical_Ward","DBSCAN","Spectral"
"._.ehe23",1,2,1,0,2
".hoang.kha.71",2,1,2,0,1
".k.c.c5",3,1,2,0,1
".qkhanh1403",4,2,1,0,2
".siudangiu06",5,2,1,0,2
".thy.em",6,2,1,1,2
".vnlifestyle",7,1,2,0,1
"02baoanh",8,1,2,0,2
"07081991t",9,2,1,0,2
"1101.donchan",10,2,1,0,2
"1185th",11,2,1,0,2
"1201belan",12,2,1,0,2
"123cnvit",13,2,1,0,2
"1309yenkhoa",14,2,1,1,2
"1_mi_revew",15,2,1,1,2
"1_phan_2",16,2,1,0,2
"1chutrider",17,1,2,0,2
"1mixinhxinh_",18,2,1,0,2
"2001chung",19,2,1,0,2
"2005_miie",20,1,1,0,2
"207.ht",21,1,2,0,2
"22_22_l",22,2,1,0,2
"26062002tn",23,2,2,0,2
"28_th5.05",24,1,2,0,2
"2catv",25,2,1,0,2
"2gsstudy",26,2,1,0,2
"2k7astol",27,2,1,0,2
"3d0919",28,1,2,0,2
"3tl.team",29,2,1,0,2
"404minhhieu.daily",30,2,1,0,2
"50ktipslamdeplonxon",31,2,1,0,2
"55h990",32,2,1,0,2
"60s9979",33,2,1,0,2
"6lauj2001",34,2,1,0,2
"7h_tyty",35,2,1,0,2
"80ducduy",36,1,2,0,2
"83.phim",37,2,1,0,2
"97.mayonair",38,1,1,0,2
"9slide.vn",39,1,2,0,2
"9x0215",40,2,1,1,2
"_.doriis",41,2,1,1,2
"_.rboot._",42,2,1,0,2
"_.sammeouu",43,2,1,0,2
"_.wubmd",44,2,1,0,2
"_02660",45,2,1,0,2
"_1107hqh_",46,2,1,0,2
"_25thangg07_",47,2,1,0,2
"__changranhrang",48,2,1,1,2
"__leo__k10",49,1,2,0,2
"__songyii",50,2,1,1,2
"__tid__01",51,2,1,0,2
"__tncuti",52,2,1,0,2
"_anhdun",53,2,1,0,2
"_bechangne",54,2,1,0,2
"_binh_an__",55,2,1,1,2
"_bochanhst",56,1,2,0,2
"_boss_mimi",57,2,1,0,2
"_clouddom",58,1,1,0,2
"_d.dziep11_",59,2,1,1,2
"_d.ngzoc.12_",60,2,1,0,2
"_deadzonnne_",61,2,1,0,2
"_dquang62",62,2,1,1,2
"_duythangg_",63,2,1,1,2
"_ebeivne",64,2,1,0,2
"_huongkool",65,1,2,0,2
"_lacquanyeudoihaha",66,2,1,0,2
"_linhnhi",67,2,1,0,2
"_mancci_",68,2,1,0,2
"_meomeo007",69,1,2,0,1
"_meowmeow213",70,2,1,0,2
"_mighiet",71,2,1,0,2
"_missliga",72,1,2,0,2
"_myee269",73,2,1,0,2
"_ng.hyenn",74,2,1,1,2
"_ngdephaysuy_",75,2,1,1,2
"_ngocdory08",76,2,1,1,2
"_ngocvui.211_",77,2,1,1,2
"_nguyenhongthuong",78,2,1,0,2
"_nh.minh",79,2,1,0,2
"_nhd.210_",80,2,1,0,2
"_nhi0611_",81,2,1,0,2
"_nhincl26",82,2,1,0,2
"_nhuuquynhh",83,2,1,0,2
"_nlbaotran",84,1,2,0,1
"_peachypiee_",85,2,1,0,2
"_phomaithui",86,2,1,0,2
"_ping999_9_",87,1,2,0,2
"_pphue",88,2,1,1,2
"_pupunpurin",89,2,1,0,2
"_quangduc16",90,2,1,0,2
"_quocbao05_",91,1,1,0,2
"_siudangghet",92,2,1,0,2
"_tapham8",93,2,1,0,2
"_tdt03.idk",94,2,1,0,2
"_thanhdung85",95,2,1,0,2
"_thanhthuy.hhvn_",96,2,1,0,2
"_tidlt",97,2,1,0,2
"_tiennghi06_",98,2,1,1,2
"_tiennghiday06_",99,2,1,1,2
"_tolaminhanh06",100,2,1,0,2
"_truc_ha6",101,2,1,0,2
"_tuandat05_09",102,1,2,0,2
"_tuanhoang_",103,1,2,0,2
"_tvy132",104,2,1,0,2
"_yen_thanh_",105,2,1,0,2
"a.i.cute",106,1,2,0,2
"a.lap.3010",107,2,1,0,2
"aan_ne8",108,2,1,0,2
"abanhh___",109,2,1,0,2
"abcxzy987878",110,2,1,0,2
"abenthoren",111,2,1,0,2
"aboutthuw",112,1,2,0,2
"abt.ruaa",113,2,1,1,2
"adai66888",114,2,1,0,2
"addphim2",115,2,1,0,2
"adminkhaofficial",116,1,2,0,2
"adorima_",117,1,2,0,2
"aerichanw",118,1,2,0,2
"aetodayyy",119,2,1,0,2
"ahihi29_9",120,2,1,0,2
"ahongtrasua",121,2,1,0,2
"aigonew1ld",122,2,1,0,2
"aili26.02",123,1,2,0,2
"akacuakyla",124,2,1,0,2
"akinoshenji206",125,2,1,0,2
"aliceduonggg777",126,2,1,0,2
"alithucphuong",127,1,2,0,2
"alobacsi.com",128,1,2,0,1
"amthuc48h",129,2,2,0,2
"amthucchuanvi",130,1,2,0,2
"amthucquangtri",131,2,1,0,2
"amthuctrunghoa02",132,1,2,0,1
"an.chi.bin",133,1,2,0,2
"an.vu167",134,2,1,1,2
"anchoireview6899",135,2,1,0,2
"ancunggiao",136,2,1,0,2
"ancunglam561999",137,2,1,0,2
"andymexe",138,2,1,0,2
"anfishing1610",139,2,1,0,2
"angellanhung1",140,2,1,0,2
"angiodauvlog",141,2,1,0,2
"angiomytho",142,1,2,0,2
"angoctonytv1",143,1,2,0,2
"anhbachvlog",144,2,1,1,2
"anhbeoriviu",145,1,2,0,2
"anhcamcam",146,2,1,0,2
"anhchau254",147,2,1,0,2
"anhchubungbu",148,2,1,0,2
"anhchuxuongdeptrai",149,2,2,0,2
"anhdaonguyen206",150,2,1,0,2
